seqnames,start,end,width,strand,sampleID,hgncSymbol,type,pValue,padjust,psiValue,deltaPsi,counts,totalCounts,meanCounts,meanTotalCounts,nonsplitCounts,nonsplitProportion,nonsplitProportion_99quantile
chr1,23558416,23558934,519,*,RD362,NA,jaccard,1.7328e-10,0.0011992,0.41,-0.49,197,477,213.19,231.77,96,0.2,NA
chr1,23559020,23559126,107,*,RD364,NA,jaccard,1.7559e-10,0.0024304,0.47,-0.5,61,130,168.81,176.05,31,0.24,NA
chr1,36479517,36481477,1961,*,RD250,CSF3R,jaccard,1.8934e-10,0.0026208,0.48,-0.46,2193,4606,7298.72,7947.92,45,0.01,NA
chr17,7220198,7220463,266,*,UDN851664,ACADVL,jaccard,1.9022e-10,0.0015798,0.55,-0.41,479,877,477.94,507.92,30,0.03,NA
chr10,89222583,89223683,1101,*,UDN226821,LIPA,jaccard,1.903e-10,0.001317,0.61,-0.39,259,425,261.62,262.59,0,0,NA
chr19,41957120,41958285,1166,*,RD469,RABAC1;ATP1A3,jaccard,1.9138e-10,0.0079471,0.62,-0.3,101,164,428.21,450.58,49,0.3,NA
chr20,57615061,57615511,451,*,RD226,ZBP1,jaccard,1.9376e-10,0.0040229,0.6,-0.37,94,157,238.1,249.13,16,0.1,NA
chr19,54576110,54587200,11091,*,RD372,NA,jaccard,1.945e-10,0.0020192,0,-0.61,0,1544,1301.14,1821.18,66,0.04,NA
chr19,50376577,50376718,142,*,RD363,LOC105372437;NR1H2,jaccard,1.9554e-10,0.0013533,0.61,-0.31,225,367,428.72,450.33,142,0.39,NA
chr19,6381613,6381696,84,*,RD168,GTF2F1,jaccard,1.9585e-10,0.0020331,0.33,0.33,28,84,4.96,457.84,14,0.17,NA
chr9,15203891,15210087,6197,*,UDN659517,TTC39B,jaccard,1.9606e-10,0.0020354,0,-0.99,0,20,23.11,25.07,0,0,NA
chr1,109200901,109202945,2045,*,GSS119197,ELAPOR1,jaccard,1.9717e-10,0.0040938,0.56,0.56,14,25,2.53,193.88,0,0,NA
chr19,54095568,54095603,36,*,RD444,NA,jaccard,1.9876e-10,0.0020634,0.87,0.8,341,393,34.47,847.94,52,0.13,NA
chr20,63700703,63701829,1127,*,RD222,ARFRP1,jaccard,2.0198e-10,0.0010484,0.53,-0.34,162,308,346.33,382.76,35,0.11,NA
chr19,13775565,13778051,2487,*,RD190,C19orf53,jaccard,2.036e-10,0.0012078,0.31,0.31,105,340,0.82,442.8,6,0.02,NA
chr2,218282182,218292465,10284,*,RD176,PNKD;LOC105373880;TMBIM1,jaccard,2.0675e-10,0.0021463,0.35,-0.4,77,223,785.95,927.74,1,0,NA
chr19,54274830,54275950,1121,*,RD358,NA,jaccard,2.1342e-10,0.001266,0.34,-0.52,527,1550,1261.23,1423.57,119,0.08,NA
chr19,199953,200049,97,*,RD536,NA,jaccard,2.1515e-10,0.0044671,0.5,0.49,16,32,1.02,145.66,16,0.5,NA
chr1,225870350,225871075,726,*,UDN754828,TMEM63A,jaccard,2.1869e-10,0.0011351,0.46,0.45,50,108,6.64,221.07,10,0.09,NA
chr6,32948869,32949270,402,*,GSS119194,NA,jaccard,2.2045e-10,0.0030514,0.15,-0.75,123,846,532.13,610.27,56,0.07,NA
chr2,113628714,113632914,4201,*,RD416,RABL2A,jaccard,2.2398e-10,0.0046504,0.13,-0.86,3,23,27.37,28.61,0,0,NA
chr22,42070367,42070762,396,*,RD312,NAGA,jaccard,2.2574e-10,0.0013177,0.88,0.8,21,24,9.03,139.89,3,0.12,NA
chr1,161670273,161671391,1119,*,RD424,FCGR2B,jaccard,2.2874e-10,0.0021523,0.19,-0.79,6,31,91.19,94.6,25,0.81,NA
chr1,178885212,178885968,757,*,GSS198494,RALGPS2,jaccard,2.3162e-10,0.0024045,0,-0.98,0,16,42.23,48.29,0,0,NA
chr15,56666536,56666799,264,*,GSS237629,ZNF280D,jaccard,2.3767e-10,0.0078022,1,0.99,28,28,1.94,34.29,0,0,NA
chr6,36525643,36540071,14429,*,RD312,STK38,jaccard,2.394e-10,0.0013177,0.36,-0.58,10,28,405.37,427.89,0,0,NA
chr13,114029888,114052051,22164,*,RD292,NA,jaccard,2.4108e-10,0.0012514,0.69,0.67,9,13,8.82,742.43,0,0,NA
chr12,95974373,95976428,2056,*,RD385,HAL,jaccard,2.4868e-10,0.0012908,0.28,-0.54,36,127,183.9,224.04,37,0.29,NA
chr11,71498529,71501301,2773,*,RD249,NADSYN1,jaccard,2.4879e-10,0.0051656,0.61,-0.3,258,421,525.2,564.52,89,0.21,NA
chr3,39389617,39390422,806,*,GSS293189,SLC25A38,jaccard,2.5068e-10,0.0052047,0.63,-0.36,301,479,156.97,160.81,52,0.11,NA
chr15,83107773,83112796,5024,*,GSS153634,TM6SF1;HDGFL3,jaccard,2.5243e-10,0.001747,0.41,-0.55,154,376,146.2,156.24,95,0.25,NA
chr6,36532304,36540071,7768,*,RD312,STK38,jaccard,2.5386e-10,0.0013177,0.64,0.61,18,28,2.18,418.88,0,0,NA
chr9,137031726,137031978,253,*,RD421,LINC02908;FUT7,jaccard,2.5799e-10,0.003031,0.46,-0.39,205,441,275.9,303.77,90,0.2,NA
chr12,100085339,100086274,936,*,RD424,BLTP3B,jaccard,2.5915e-10,0.0021523,1,0.99,22,22,0.95,43.04,0,0,NA
chr20,3948280,3963874,15595,*,RD147,RNF24,jaccard,2.6282e-10,0.0013642,0.06,-0.9,1,17,89.55,98.71,0,0,NA
chr19,14409646,14409741,96,*,RD165,DDX39A,jaccard,2.6664e-10,0.0015817,0.45,-0.43,156,348,256.53,283.59,191,0.55,NA
chr7,44039670,44039893,224,*,RD417,RASA4CP;LINC00957,jaccard,2.6808e-10,0.0018554,1,0.97,29,29,2.73,64.43,0,0,NA
chr14,54482203,54483670,1468,*,RD439,GMFB,jaccard,2.7175e-10,0.0034587,0.05,-0.84,1,20,57.84,64.25,19,0.95,NA
chr7,100149054,100149498,445,*,RD438,LAMTOR4,jaccard,2.7686e-10,0.0019161,0.57,0.38,120,210,150.1,837.39,47,0.22,NA
chr11,47723317,47724027,711,*,RD261,NA,jaccard,2.791e-10,0.0010536,0.38,-0.6,8,21,310.94,324.94,0,0,NA
chr6,393369,394820,1452,*,GSS196404,IRF4,jaccard,2.8031e-10,0.00194,0,-0.98,0,18,36.18,37.86,0,0,NA
chr7,66092087,66092556,470,*,RD538,ASL,jaccard,2.8999e-10,0.0040139,0.48,-0.5,29,60,111.11,113.6,19,0.32,NA
chr19,51226082,51235156,9075,*,UDN659517,CD33,jaccard,2.9241e-10,0.0024285,0.39,0.38,150,381,12.39,391.7,8,0.02,NA
chr9,21029399,21029758,360,*,RD177,HACD4,jaccard,2.9389e-10,0.0040679,0.38,0.37,35,93,1.64,252.39,0,0,NA
chr19,54576110,54577464,1355,*,RD222,NA,jaccard,2.9839e-10,0.0013767,0.59,0.47,382,648,159.23,1618.57,27,0.04,NA
chr16,1766410,1766528,119,*,RD226,MAPK8IP3,jaccard,3.0084e-10,0.0041641,0.59,-0.39,77,131,215.17,219.71,54,0.41,NA
chr6,29888684,29934228,45545,*,RD270,NA,jaccard,3.0439e-10,0.0021066,0.5,0.5,5143,10296,79.39,3704.96,5138,0.5,NA
chr1,161677366,161677475,110,*,RD263,FCGR2B,jaccard,3.0444e-10,0.0015803,0.67,-0.31,92,137,245.68,249.91,44,0.32,NA
chr11,62761905,62762541,637,*,RD180,POLR2G,jaccard,3.1859e-10,0.0066146,0.48,0.38,165,345,30.82,430.78,25,0.07,NA
chr2,162280113,162281327,1215,*,UDN606250,IFIH1,jaccard,3.2006e-10,0.0044301,0.61,-0.39,104,171,137.54,143.78,0,0,NA
chr16,88859751,88859892,142,*,RD540,TRAPPC2L,jaccard,3.2093e-10,0.0026235,0.3,-0.55,21,70,205.14,211.83,0,0,NA
chr5,178213104,178214795,1692,*,RD431,PHYKPL,jaccard,3.2357e-10,0.0016795,0.35,-0.44,52,150,284,372.04,1,0.01,NA
chr19,37347873,37362105,14233,*,UDN754828,ZNF875,jaccard,3.2472e-10,0.0013759,1,0.94,28,28,10.53,62.57,0,0,NA
chr15,83107773,83112796,5024,*,GSS253639,TM6SF1;HDGFL3,jaccard,3.2621e-10,0.0033865,0.38,-0.56,126,330,146.2,156.24,89,0.27,NA
chr2,191010005,191013524,3520,*,UDN828758,STAT1,jaccard,3.3006e-10,0.001958,0.64,-0.31,326,513,559.63,614.35,0,0,NA
chr19,13817354,13817721,368,*,GSS115787,NA,jaccard,3.4651e-10,0.0020555,0,-0.98,0,23,20.72,22.13,23,1,NA
chr6,31270084,31270209,126,*,RD421,NA,jaccard,3.4744e-10,0.003031,0.32,0.32,2230,6919,124.08,16969.05,253,0.04,NA
chr16,3666119,3671721,5603,*,RD178,DNASE1;TRAP1,jaccard,3.4841e-10,0.014468,0.57,-0.41,35,61,202.2,211.36,2,0.03,NA
chr6,31270084,31270209,126,*,RD389,NA,jaccard,3.5335e-10,0.0024455,0.32,0.32,910,2830,124.08,16969.05,67,0.02,NA
chr3,198185565,198186448,884,*,GSS151817,NA,jaccard,3.5353e-10,0.001835,0.29,-0.69,38,130,62.61,65.56,1,0.01,NA
chr16,29485509,29485565,57,*,RD046,NPIPB12,jaccard,3.6021e-10,0.0011506,0.31,0.31,26,83,3.88,231.63,18,0.22,NA
chr20,62813201,62813320,120,*,RD279,OGFR,jaccard,3.6193e-10,0.0037573,0.42,0.41,142,338,12.54,733.1,159,0.47,NA
chr10,45790534,45792260,1727,*,RD464,WASHC2C,jaccard,3.6563e-10,0.0018978,0,-0.99,0,6,251.3,253.25,6,1,NA
chr7,2647639,2647958,320,*,UDN754828,TTYH3,jaccard,3.6763e-10,0.0013759,0.1,-0.83,2,20,113.99,129.09,18,0.9,NA
chr11,130910138,130910269,132,*,RD466,SNX19,jaccard,3.69e-10,0.0030645,0,-0.97,0,33,44.06,49.03,33,1,NA
chr5,56816056,56856599,40544,*,RD147,MAP3K1,jaccard,3.6906e-10,0.0015526,0,-0.93,0,16,115.23,126.83,0,0,NA
chr12,69360024,69362787,2764,*,RD233,YEATS4,jaccard,3.7213e-10,0.015453,0.18,-0.8,28,156,50.03,52.6,0,0,NA
chr6,29888684,29934228,45545,*,RD217,NA,jaccard,3.8168e-10,0.0079246,0.49,0.49,2862,5884,79.39,3704.96,3017,0.51,NA
chr12,132786788,132789026,2239,*,GSS246329,GOLGA3,jaccard,3.8194e-10,0.0022657,0.28,-0.71,56,197,95.12,99.9,1,0.01,NA
chr1,179908674,179913997,5324,*,RD388,TOR1AIP1,jaccard,3.8761e-10,0.0020119,0.46,-0.5,237,516,445.66,470.86,0,0,NA
chr2,85343799,85344238,440,*,UDN093752,NA,jaccard,3.8792e-10,0.0010833,0.45,0.44,50,112,3.51,140,20,0.18,NA
chr12,21473643,21474840,1198,*,UDN878321,RECQL,jaccard,3.9062e-10,0.0032441,0.68,-0.32,92,136,116.35,121.68,40,0.29,NA
chr20,25314971,25317047,2077,*,UDN093752,ABHD12,jaccard,3.9074e-10,0.0010833,0.22,-0.77,5,23,74.79,76.32,0,0,NA
chr1,161549799,161550530,732,*,UDN093752,FCGR2A;FCGR3A,jaccard,3.9131e-10,0.0010833,0.8,0.79,28,35,3.71,98.79,7,0.2,NA
chr7,65976203,65980223,4021,*,RD261,GUSB,jaccard,4.0307e-10,0.001384,0.59,0.57,13,22,9.39,386.6,0,0,NA
chr16,56485739,56496966,11228,*,GSS158504,NUDT21;BBS2,jaccard,4.0378e-10,0.0011178,0.36,-0.63,16,44,77.71,83.5,0,0,NA
chr1,226062095,226062734,640,*,RD439,H3-3A,jaccard,4.0678e-10,0.0034587,0,-0.61,0,70,248.5,342.11,66,0.94,NA
chr2,12718578,12723259,4682,*,RD368,TRIB2,jaccard,4.1059e-10,0.0034099,0.58,-0.41,70,121,165.09,169.49,0,0,NA
chr9,133352143,133352445,303,*,RD185,NA,jaccard,4.1263e-10,0.0085673,0.5,-0.45,229,454,418.2,443.27,152,0.33,NA
chr19,51128040,51128413,374,*,RD244,SIGLEC9,jaccard,4.1281e-10,0.005714,0.59,-0.36,106,180,324.69,346.93,19,0.11,NA
chrX,14916327,14918679,2353,*,RD439,MOSPD2,jaccard,4.1646e-10,0.0034587,0.08,-0.86,1,13,100.25,107.59,12,0.92,NA
chr9,328172,332397,4226,*,RD225,DOCK8,jaccard,4.1843e-10,0.0057917,0.66,-0.34,82,125,210.51,212.21,1,0.01,NA
chr21,44418556,44418947,392,*,RD432,TRPM2;TRPM2-AS,jaccard,4.2043e-10,0.0012351,1,0.96,37,37,1.97,33.55,0,0,NA
chr14,74824308,74827371,3064,*,UDN754828,YLPM1,jaccard,4.219e-10,0.0013759,0.55,0.55,36,65,3.1,113.41,0,0,NA
chr6,29889605,30261586,371982,*,RD269,NA,jaccard,4.2349e-10,0.0035171,0.44,0.44,3566,8134,84.24,4545.07,19,0,NA
chr18,32037270,32042178,4909,*,RD147,RNF125,jaccard,4.2492e-10,0.0015526,0.17,-0.8,3,18,82.87,87.4,3,0.17,NA
chr20,44206999,44210695,3697,*,RD230,OSER1,jaccard,4.2795e-10,0.0059235,0.4,-0.45,94,235,318.09,347.23,10,0.04,NA
chr9,83680038,83682950,2913,*,UDN754828,UBQLN1,jaccard,4.3075e-10,0.0013759,0.45,-0.53,20,44,130.54,138.66,0,0,NA
chr17,78692494,78696006,3513,*,GSS189457,CYTH1,jaccard,4.3139e-10,0.0044784,0.59,-0.32,859,1447,348.58,373.9,99,0.07,NA
chr11,14819210,14830697,11488,*,RD147,PDE3B,jaccard,4.3539e-10,0.0015526,0.19,-0.68,11,58,93.62,108.36,7,0.12,NA
chr14,52718143,52718228,86,*,RD536,PSMC6,jaccard,4.4134e-10,0.0061089,0.12,-0.86,3,25,90.25,95.28,22,0.88,NA
chr12,6529959,6530690,732,*,RD167,NCAPD2,jaccard,4.4643e-10,0.0046345,0.32,-0.6,55,170,137.14,147.57,6,0.04,NA
chr14,90263848,90264040,193,*,UDN611907,PSMC1,jaccard,4.4747e-10,0.0037163,0.62,-0.34,77,125,243.1,253.48,48,0.38,NA
chr6,26370604,26372896,2293,*,RD204,BTN3A2,jaccard,4.5061e-10,0.0062372,0.08,-0.69,13,160,344.8,440.46,40,0.25,NA
chr2,147973525,147975901,2377,*,RD396,ORC4,jaccard,4.5303e-10,0.018812,0.15,-0.84,13,87,41.29,42.86,3,0.03,NA
chr16,28466903,28477463,10561,*,UDN226821,NPIPB7;CLN3,jaccard,4.5377e-10,0.0026918,0.43,0.42,122,284,4.51,175.56,104,0.37,NA
chr20,45960369,45960448,80,*,RD386,ZNF335,jaccard,4.5394e-10,0.0031416,0.47,-0.47,119,253,132.19,138.87,134,0.53,NA
chr2,12718578,12723259,4682,*,RD369,TRIB2,jaccard,4.549e-10,0.0094449000000000009,0.59,-0.4,102,172,165.09,169.49,0,0,NA
chr11,68804102,68807466,3365,*,RD419,CPT1A,jaccard,4.5834e-10,0.0014222,0.22,-0.73,5,23,98.88,104.74,18,0.78,NA
chr17,7220198,7220463,266,*,RD431,ACADVL,jaccard,4.585e-10,0.0021155,0.55,-0.4,308,560,477.94,507.92,14,0.03,NA
chr12,102061347,102061911,565,*,RD420,WASHC3,jaccard,4.6054e-10,0.0011249,0.14,-0.73,6,43,77.01,89.57,10,0.23,NA
chr16,22534638,22534741,104,*,RD313,NA,jaccard,4.645e-10,0.0096443,0.35,0.34,46,132,3.02,308.97,53,0.4,NA
chr12,56275132,56275995,864,*,RD261,CS,jaccard,4.6661e-10,0.001384,0.38,-0.55,11,29,312.72,346.5,4,0.14,NA
chrX,75112973,75114753,1781,*,GSS115017,ABCB7,jaccard,4.6752e-10,0.0097069,0,-0.99,0,79,62.33,64.51,0,0,NA
chr4,15778648,15780803,2156,*,RD417,CD38,jaccard,4.6804e-10,0.0027765,1,1,15,15,0.6,58.44,0,0,NA
chr3,5211217,5213318,2102,*,RD146,EDEM1,jaccard,4.6923e-10,0.0011462,0.31,-0.58,17,55,159.88,185.75,14,0.25,NA
chrX,130074753,130081255,6503,*,RD264,ELF4,jaccard,4.7641e-10,0.0013189,0.3,-0.64,10,33,197.27,230.36,4,0.12,NA
chr16,21403928,21404053,126,*,RD209,NA,jaccard,4.7834e-10,0.0024829,0.43,0.42,86,201,1.55,91.25,115,0.57,NA
chr1,201889068,201889444,377,*,RD383,SHISA4,jaccard,4.7883e-10,0.0039767,0.09,-0.89,2,22,95.41,99.36,0,0,NA
chr3,48523622,48523700,79,*,RD419,PFKFB4,jaccard,4.795e-10,0.0014222,0.62,0.62,10,16,2.1,203.42,0,0,NA
chr18,32113861,32123517,9657,*,RD147,RNF138,jaccard,4.8608e-10,0.0015526,0.11,-0.79,5,46,86.12,107.39,1,0.02,NA
chr20,25309576,25314924,5349,*,UDN093752,ABHD12,jaccard,4.9677e-10,0.0012893,0.26,-0.7,10,38,91.92,95.36,4,0.11,NA
chr6,3104316,3105481,1166,*,UDN851664,RIPK1,jaccard,4.9694e-10,0.0034392,0.57,-0.42,39,68,89.04,94.5,21,0.31,NA
